date;ret
17/07/2013;-6.066686e-03
18/07/2013;-1.174985e-04
19/07/2013;1.557162e-03
22/07/2013;5.889894e-04
23/07/2013;1.070410e-02
24/07/2013;5.419005e-03
25/07/2013;1.067377e-04
26/07/2013;5.937453e-03
29/07/2013;-6.402139e-03
30/07/2013;-1.221403e-03
31/07/2013;-1.899649e-03
01/08/2013;6.433809e-03
02/08/2013;1.479467e-03
05/08/2013;-1.692682e-03
06/08/2013;1.910367e-03
07/08/2013;-3.638143e-04
08/08/2013;5.079110e-03
09/08/2013;1.001025e-03
12/08/2013;5.551795e-03
13/08/2013;3.645024e-04
14/08/2013;9.442903e-03
15/08/2013;-3.638933e-03
16/08/2013;-2.134447e-03
19/08/2013;-1.121701e-03
20/08/2013;2.953744e-03
21/08/2013;4.794794e-03
22/08/2013;1.470975e-03
23/08/2013;4.213221e-03
26/08/2013;2.806617e-03
27/08/2013;-1.263625e-03
28/08/2013;-6.791944e-03
29/08/2013;-1.964856e-04
30/08/2013;3.700834e-04
03/09/2013;-5.342897e-03
04/09/2013;3.326429e-03
05/09/2013;5.142919e-03
06/09/2013;6.685776e-04
09/09/2013;-3.140833e-03
10/09/2013;-1.584485e-03
11/09/2013;6.380667e-03
12/09/2013;2.750987e-03
13/09/2013;3.766248e-03
16/09/2013;1.426896e-03
17/09/2013;-1.640663e-03
18/09/2013;1.944517e-03
19/09/2013;4.096747e-03
20/09/2013;7.429420e-04
23/09/2013;-2.870492e-03
24/09/2013;-2.364870e-03
25/09/2013;-2.064886e-03
26/09/2013;2.130191e-03
27/09/2013;4.326170e-04
30/09/2013;2.788315e-03
01/10/2013;7.268696e-03
02/10/2013;4.060127e-03
03/10/2013;-1.139361e-03
04/10/2013;2.599937e-03
07/10/2013;1.840009e-03
08/10/2013;1.081199e-03
09/10/2013;-2.172716e-03
10/10/2013;-2.935535e-03
11/10/2013;-2.688447e-03
14/10/2013;-1.539205e-03
15/10/2013;9.810100e-04
16/10/2013;1.515171e-03
17/10/2013;-1.677084e-03
18/10/2013;1.208544e-03
21/10/2013;3.166212e-03
22/10/2013;5.580540e-04
23/10/2013;-1.061513e-03
24/10/2013;1.066243e-03
25/10/2013;4.739540e-03
28/10/2013;2.796849e-03
29/10/2013;2.351278e-03
30/10/2013;7.276200e-04
31/10/2013;-4.602180e-04
01/11/2013;-3.728821e-03
04/11/2013;-2.201541e-03
05/11/2013;-8.876077e-04
06/11/2013;-3.131509e-03
07/11/2013;4.028146e-03
