date        sgarchvol 
2002-03-08 0.020533005
2002-03-11 0.020472994
2002-03-12 0.019992555
2002-03-13 0.020557190
2002-03-14 0.020113870
2002-03-15 0.019897185
2002-03-18 0.019927588
2002-03-19 0.019477936
2002-03-20 0.018988935
2002-03-21 0.020156101
2002-03-22 0.020183857
2002-03-25 0.019990308
2002-03-26 0.020059888
2002-03-27 0.019567199
2002-03-28 0.019114548
2002-04-01 0.018904855
2002-04-02 0.018431991
2002-04-03 0.021541799
2002-04-04 0.021359991
2002-04-05 0.020818662
2002-04-08 0.020444193
2002-04-09 0.020633595
2002-04-10 0.022255003
2002-04-11 0.022444782
2002-04-12 0.022753691
2002-04-15 0.022640055
2002-04-16 0.022089010
2002-04-17 0.023152279
2002-04-18 0.023065983
2002-04-19 0.022505871
2002-04-22 0.022161678
2002-04-23 0.022575835
2002-04-24 0.023003039
2002-04-25 0.022813443
2002-04-26 0.022416067
2002-04-29 0.023871020
2002-04-30 0.023464066
2002-05-01 0.022860388
2002-05-02 0.022361607
2002-05-03 0.022832037
2002-05-06 0.023480279
2002-05-07 0.023312057
2002-05-08 0.023033329
2002-05-09 0.033753953
2002-05-10 0.034981992
2002-05-13 0.035283458
2002-05-14 0.036345732
2002-05-15 0.036591270
2002-05-16 0.035628484
2002-05-17 0.034911549
2002-05-20 0.034003793
2002-05-21 0.034151349
2002-05-22 0.034163009
2002-05-23 0.033870511
2002-05-24 0.033301395
2002-05-28 0.033098226
2002-05-29 0.032495950
2002-05-30 0.031667709
2002-05-31 0.030929628
2002-06-03 0.031075309
2002-06-04 0.031021357
2002-06-05 0.030303144
2002-06-06 0.030448707
2002-06-07 0.029662760
2002-06-10 0.028885641
2002-06-11 0.028350011
2002-06-12 0.027636660
2002-06-13 0.029775681
2002-06-14 0.029527367
2002-06-17 0.029055050
2002-06-18 0.028340391
2002-06-19 0.027621876
2002-06-20 0.027747904
2002-06-21 0.027052509
2002-06-24 0.027488362
2002-06-25 0.027954668
2002-06-26 0.027727614
2002-06-27 0.027449586
2002-06-28 0.026921065
2002-07-01 0.026241846
2002-07-02 0.026990215
2002-07-03 0.026845353
2002-07-05 0.026196157
2002-07-08 0.028677867
2002-07-09 0.029103472
2002-07-10 0.028362303
2002-07-11 0.027956498
2002-07-12 0.027366659
2002-07-15 0.027062148
2002-07-16 0.026360417
2002-07-17 0.025804487
2002-07-18 0.025335066
2002-07-19 0.025010984
2002-07-22 0.025371368
2002-07-23 0.026512361
2002-07-24 0.033777930
2002-07-25 0.036986299
2002-07-26 0.039792964
2002-07-29 0.040944562
2002-07-30 0.042388416
2002-07-31 0.041268488
2002-08-01 0.040176760
2002-08-02 0.040563187
2002-08-05 0.040072868
2002-08-06 0.039076161
2002-08-07 0.038988554
2002-08-08 0.038581548
2002-08-09 0.038542795
2002-08-12 0.037715914
2002-08-13 0.036745927
2002-08-14 0.036412181
2002-08-15 0.037651015
2002-08-16 0.036652338
2002-08-19 0.035692231
2002-08-20 0.035886297
2002-08-21 0.035208617
2002-08-22 0.034697560
2002-08-23 0.034014737
2002-08-26 0.033419127
2002-08-27 0.032544271
2002-08-28 0.032191222
2002-08-29 0.032053987
2002-08-30 0.031671231
2002-09-03 0.031606071
2002-09-04 0.032278151
2002-09-05 0.031925645
2002-09-06 0.032989486
2002-09-09 0.033448473
2002-09-10 0.032815307
2002-09-11 0.032330962
2002-09-12 0.031991872
2002-09-13 0.031899453
2002-09-16 0.031258277
2002-09-17 0.030446096
2002-09-18 0.029751722
2002-09-19 0.029044677
2002-09-20 0.028421191
2002-09-23 0.027699818
2002-09-24 0.029088956
2002-09-25 0.028391473
2002-09-26 0.027964996
2002-09-27 0.027286385
2002-09-30 0.027014240
2002-10-01 0.027435084
2002-10-02 0.029641162
2002-10-03 0.029043028
2002-10-04 0.028594452
2002-10-07 0.028366381
2002-10-08 0.027655381
2002-10-09 0.027342504
2002-10-10 0.027138566
2002-10-11 0.029127687
2002-10-14 0.030835000
2002-10-15 0.030078670
2002-10-16 0.032348090
2002-10-17 0.032587428
2002-10-18 0.031762489
2002-10-21 0.032672738
2002-10-22 0.031943927
2002-10-23 0.031335222
2002-10-24 0.031216292
2002-10-25 0.031591236
2002-10-28 0.031398402
2002-10-29 0.030752274
2002-10-30 0.029946460
2002-10-31 0.029490726
2002-11-01 0.028751263
2002-11-04 0.028082496
2002-11-05 0.030362938
2002-11-06 0.029647445
2002-11-07 0.028897158
2002-11-08 0.028458473
2002-11-11 0.027982764
2002-11-12 0.027761502
2002-11-13 0.027161045
2002-11-14 0.026670684
2002-11-15 0.026792084
2002-11-18 0.026129965
2002-11-19 0.025696083
2002-11-20 0.025379973
2002-11-21 0.025738671
2002-11-22 0.025518210
2002-11-25 0.024892527
2002-11-26 0.024248661
2002-11-27 0.024225714
2002-11-29 0.024039439
2002-12-02 0.023483232
2002-12-03 0.022879212
2002-12-04 0.022654400
2002-12-05 0.022089691
2002-12-06 0.022098667
2002-12-09 0.021536978
2002-12-10 0.022511454
2002-12-11 0.022015743
2002-12-12 0.021608572
2002-12-13 0.021172691
2002-12-16 0.021852486
2002-12-17 0.022908959
2002-12-18 0.022330725
2002-12-19 0.022062095
2002-12-20 0.021586377
2002-12-23 0.021041037
2002-12-24 0.020887306
2002-12-26 0.020377719
2002-12-27 0.019960682
2002-12-30 0.019554885
2002-12-31 0.019094998
2003-01-02 0.019200867
2003-01-03 0.020666348
2003-01-06 0.020142803
2003-01-07 0.020036881
2003-01-08 0.019963378
2003-01-09 0.020528915
2003-01-10 0.021021682
2003-01-13 0.020489532
2003-01-14 0.020047900
2003-01-15 0.019663804
2003-01-16 0.019396364
2003-01-17 0.019304993
2003-01-21 0.024830806
2003-01-22 0.024199568
2003-01-23 0.023630997
2003-01-24 0.023686341
2003-01-27 0.025464301
2003-01-28 0.025018957
2003-01-29 0.024436394
2003-01-30 0.024311478
2003-01-31 0.024933612
2003-02-03 0.024591396
2003-02-04 0.024498896
2003-02-05 0.024605225
2003-02-06 0.024043986
2003-02-07 0.023515622
2003-02-10 0.023292468
2003-02-11 0.023002966
2003-02-12 0.022897057
2003-02-13 0.022309921
2003-02-14 0.021887215
2003-02-18 0.022211974
2003-02-19 0.022904804
2003-02-20 0.022569839
2003-02-21 0.022315192
2003-02-24 0.022199376
2003-02-25 0.022282769
2003-02-26 0.021734574
2003-02-27 0.021915732
2003-02-28 0.021360680
2003-03-03 0.020840875
2003-03-04 0.020382848
2003-03-05 0.020418963
2003-03-06 0.020207629
2003-03-07 0.019780176
2003-03-10 0.019467705
2003-03-11 0.019924668
2003-03-12 0.019492017
2003-03-13 0.019851716
2003-03-14 0.022945236
2003-03-17 0.022413233
2003-03-18 0.023881640
2003-03-19 0.023280084
2003-03-20 0.022797297
2003-03-21 0.022225632
2003-03-24 0.021815262
2003-03-25 0.024006410
2003-03-26 0.023445083
2003-03-27 0.022958121
2003-03-28 0.022463074
2003-03-31 0.022170731
2003-04-01 0.022050104
2003-04-02 0.021517820
2003-04-03 0.024505408
2003-04-04 0.023872270
2003-04-07 0.023977894
2003-04-08 0.023366474
2003-04-09 0.023041862
2003-04-10 0.024250626
